trial_name,epoch,learning_rate,train_loss,train_clear_loss,train_win_loss,train_potted_loss,train_potted_ordinal_loss,train_potted_class_loss,train_joint_loss,train_mean_macro_f1,train_mean_accuracy,train_clean_target_min_margin,train_clean_target_mean_margin,train_clear_accuracy,train_clear_macro_precision,train_clear_macro_recall,train_clear_macro_f1,train_win_accuracy,train_win_macro_precision,train_win_macro_recall,train_win_macro_f1,train_potted_after_break_accuracy,train_potted_after_break_macro_precision,train_potted_after_break_macro_recall,train_potted_after_break_macro_f1,val_loss,val_clear_loss,val_win_loss,val_potted_loss,val_potted_ordinal_loss,val_potted_class_loss,val_joint_loss,val_mean_macro_f1,val_mean_accuracy,val_clean_target_min_margin,val_clean_target_mean_margin,val_clear_accuracy,val_clear_macro_precision,val_clear_macro_recall,val_clear_macro_f1,val_win_accuracy,val_win_macro_precision,val_win_macro_recall,val_win_macro_f1,val_potted_after_break_accuracy,val_potted_after_break_macro_precision,val_potted_after_break_macro_recall,val_potted_after_break_macro_f1
hybrid_d64_clsmean_ord0.25,1,0.00029999537364671844,5.19420183355158,0.6925279425852227,0.6049857818719112,3.8966881029533615,6.603880786895752,2.24571791417671,0.0,0.3458006341701778,49.04040346542994,-40.6482356739006,-17.626263201236725,54.84848618507385,0.5473682251340084,0.5467830882352941,0.5460839703112883,71.66666388511658,0.5479294478527608,0.5028449502133713,0.4325804212200762,20.606060326099396,0.08255424442613295,0.10222596448254746,0.058737510979168905,4.798134606460045,0.6892815108956962,0.5835072809252245,3.5253459009630927,6.545052643479972,1.8890826866544526,0.0,0.2904266009324395,54.88505860169729,-24.185329968925473,-11.781608064969381,54.31034564971924,0.27155172413793105,0.5,0.35195530726256985,73.2758641242981,0.36637931034482757,0.5,0.42288557213930345,37.068966031074524,0.09145658263305322,0.13531746031746034,0.09643892339544513
hybrid_d64_clsmean_ord0.25,2,0.00029998149487224903,4.702959979664196,0.6870868252985405,0.6047222513141054,3.411150990110455,6.4605500279050885,1.796013475186897,0.0,0.3196290984740155,52.777778108914696,-26.405811603065487,-13.888888557751974,51.51515007019043,0.5095057034220533,0.5061580882352942,0.46281958673734114,71.96969985961914,0.35984848484848486,0.5,0.41850220264317184,34.84848439693451,0.11579475673122344,0.10577902195783395,0.07756550604153345,4.649208200388942,0.6888168762470114,0.5813795307586933,3.3790116556759537,6.508187195350384,1.751964856838358,0.0,0.2740697668181683,52.87356376647949,-30.219814474578854,-13.793102900187174,54.31034564971924,0.27155172413793105,0.5,0.35195530726256985,73.2758641242981,0.36637931034482757,0.5,0.42288557213930345,31.034481525421143,0.03103448275862069,0.1,0.04736842105263158
hybrid_d64_clsmean_ord0.25,3,0.00029995836453270005,4.600206825949929,0.6908470287467494,0.5951402346293132,3.3142195918343282,6.445368434443618,1.7028774716637352,0.0,0.3335683630862079,53.48485012849172,-26.254296596046444,-13.181816538174948,53.484851121902466,0.5335999833560454,0.5296875,0.5181118317315582,71.96969985961914,0.35984848484848486,0.5,0.41850220264317184,34.99999940395355,0.09127088692306083,0.1027337940687604,0.06409105488389376,4.637527071196457,0.687762278935005,0.5821930642785698,3.367571838970842,6.520854769081905,1.7373581467003658,0.0,0.2740697668181683,52.87356376647949,-30.219814474578854,-13.793102900187174,54.31034564971924,0.27155172413793105,0.5,0.35195530726256985,73.2758641242981,0.36637931034482757,0.5,0.42288557213930345,31.034481525421143,0.03103448275862069,0.1,0.04736842105263158
hybrid_d64_clsmean_ord0.25,4,0.0002999259840548597,4.589388639276678,0.6889396205092921,0.5945096333821615,3.3059393319216643,6.413636915611498,1.7025301145784784,0.0,0.3314964541448094,53.0303031206131,-25.95126658200836,-13.636363546053568,51.818180084228516,0.5142720131530873,0.5114889705882353,0.489670868347339,71.96969985961914,0.35984848484848486,0.5,0.41850220264317184,35.30302941799164,0.10646915383618608,0.11207155979354386,0.08631629144391736,4.606535582706846,0.6862017573981449,0.5800108704073675,3.3403228480240394,6.4792088640147245,1.7205206320203583,0.0,0.2740697668181683,52.87356376647949,-30.219814474578854,-13.793102900187174,54.31034564971924,0.27155172413793105,0.5,0.35195530726256985,73.2758641242981,0.36637931034482757,0.5,0.42288557213930345,31.034481525421143,0.03103448275862069,0.1,0.04736842105263158
hybrid_d64_clsmean_ord0.25,5,0.00029988435543610843,4.569742168079723,0.6861611514380483,0.593133562261408,3.2904474171725187,6.398341563253692,1.6908620032397184,0.0,0.3461088743824435,54.24242516358694,-26.708841617103573,-12.424241503079733,56.21212124824524,0.5613741355922557,0.5594669117647059,0.557282418722539,71.96969985961914,0.35984848484848486,0.5,0.41850220264317184,34.54545438289642,0.09299787007454738,0.1012632315632928,0.06254200178161957,4.60730294523568,0.687784141507642,0.5789113024185444,3.340607560914138,6.508665084838867,1.713441302036417,0.0,0.3448522926024398,53.735631704330444,-30.219814474578854,-12.931034962336222,56.896549463272095,0.5892682926829269,0.582210242587601,0.5643028846153846,73.2758641242981,0.36637931034482757,0.5,0.42288557213930345,31.034481525421143,0.03103448275862069,0.1,0.04736842105263158
hybrid_d64_clsmean_ord0.25,6,0.0002998334812442955,4.547460509791518,0.6844631812789224,0.5936822125405976,3.2693151965285794,6.3809697613571625,1.6740728024280433,0.0,0.34745151448849115,54.64646518230438,-25.648236567970272,-12.020201484362284,56.36363625526428,0.5629973474801061,0.5628676470588235,0.5628495731527818,71.96969985961914,0.35984848484848486,0.5,0.41850220264317184,35.606059432029724,0.07980269989615783,0.10366459627329191,0.061002767669519765,4.580591744390027,0.6841894038792314,0.5776874484687016,3.318714898208092,6.443456074287152,1.7078508673043087,0.0,0.33584869440157644,52.87356376647949,-30.219814474578854,-13.793102900187174,54.31034564971924,0.5378787878787878,0.5374363581910752,0.5372920900127944,73.2758641242981,0.36637931034482757,0.5,0.42288557213930345,31.034481525421143,0.03103448275862069,0.1,0.04736842105263158
hybrid_d64_clsmean_ord0.25,7,0.0002997733646175807,4.5250907030972565,0.6830947763992078,0.5892680514942515,3.252727898684415,6.298373413085938,1.6781345569726192,0.0,0.34526401207145857,54.49495116869608,-25.04217355966186,-12.171715497970581,55.30303120613098,0.5552130796033236,0.5473345588235294,0.5335130278526505,71.96969985961914,0.35984848484848486,0.5,0.41850220264317184,36.212122440338135,0.10988888888888888,0.11070684979441867,0.08377680571855331,4.54867067008183,0.6797233265021752,0.5763462494159567,3.2926010427803827,6.40129252137809,1.6922779658745075,0.0,0.2740460588997235,52.58620778719584,-31.081882412429806,-14.080458879470825,54.31034564971924,0.27155172413793105,0.5,0.35195530726256985,73.2758641242981,0.36637931034482757,0.5,0.42288557213930345,30.17241358757019,0.03125,0.09722222222222222,0.04729729729729729
hybrid_d64_clsmean_ord0.25,8,0.0002997040092642407,4.4934343569206465,0.6781673319412,0.5866680130814061,3.2285990715026855,6.288501560326779,1.6564736850333937,0.0,0.3501968761320025,55.30303120613098,-23.830053503509518,-11.363635460535685,56.515151262283325,0.5681473739221322,0.5599264705882353,0.5489731531638788,71.96969985961914,0.35984848484848486,0.5,0.41850220264317184,37.42424249649048,0.11001610437820722,0.1142655935613682,0.0831152725889568,4.564616005996178,0.6778793129427679,0.5745894395071884,3.3121472062735724,6.390949430136845,1.7144099679486504,0.0,0.3545098761974219,54.31034564971924,-31.081882412429806,-12.356321016947428,59.48275923728943,0.6083850931677018,0.6045223120694818,0.5933467591556649,73.2758641242981,0.36637931034482757,0.5,0.42288557213930345,30.17241358757019,0.03125,0.09722222222222222,0.04729729729729729
hybrid_d64_clsmean_ord0.25,9,0.0002996254194624405,4.45374092911229,0.6753182122201631,0.5795579819968253,3.198864711414684,6.2363027832724836,1.639789015596563,0.0,0.3666172970323038,56.91919227441152,-21.557325417991635,-9.747474392255148,59.090906381607056,0.5911680911680912,0.5882352941176471,0.5862549338286511,71.96969985961914,0.35984848484848486,0.5,0.41850220264317184,39.69697058200836,0.13457468457468458,0.12403814189484734,0.09509475462508843,4.466117168294972,0.669686037918617,0.5713802617171715,3.2250506960112473,6.273955575351057,1.6565617487348359,0.0,0.4006375830591938,59.195403258005776,-31.081882412429806,-7.471263408660889,74.13793206214905,0.7502439024390244,0.7304582210242587,0.7317298797409806,73.2758641242981,0.36637931034482757,0.5,0.42288557213930345,30.17241358757019,0.03125,0.09722222222222222,0.04729729729729729
hybrid_d64_clsmean_ord0.25,10,0.0002995376000599692,4.398393989331795,0.6605105714364485,0.5814497470855713,3.156433645884196,6.1194575280854195,1.6265692523031523,0.0,0.3792121941710455,58.282829324404396,-20.951265389915463,-8.383837342262268,62.57575750350952,0.6257229067136032,0.6240808823529411,0.6236833418359691,71.96969985961914,0.35984848484848486,0.5,0.41850220264317184,40.303030610084534,0.10913490537251366,0.12513515877875953,0.09545103803399574,4.372992581334607,0.6539512831589271,0.5666232479029688,3.1524179968340644,6.060900129120926,1.6371930303244755,0.0,0.4122611175829465,61.78160905838013,-21.599123175140377,-4.88505760828654,72.41379022598267,0.7524644030668127,0.7070979335130279,0.7043644472762026,73.2758641242981,0.36637931034482757,0.5,0.42288557213930345,39.65517282485962,0.08780690803162713,0.15555555555555553,0.10953333333333333
